svc_type,svc_grp,code,unit_type,unit_hrs,short_desc,long_desc
Hospital Based Services,Inpatient Psychiatric Hospital,1X4,Per Diem,24,"Inpatient Psychiatric Hospital, excludes Physician costs","All inclusive room and board with ancillary, excludes physician costs"
Hospital Based Services,Inpatient Psychiatric Hospital,100,Per Diem,24,"Inpatient Psychiatric Hospital, includes Physician costs","All inclusive room and board with ancillary, includes physician costs"
Hospital Based Services,Ancillary Hospital Services,104,Minutes,0.01,Ancillary Hospital Services,NA
Hospital Based Services,Inpatient Psychiatric Hospital,113,Per Diem,24,Inpatient Psychiatric Hospital,NA
Hospital Based Services,Inpatient Psychiatric Hospital,114,Per Diem,24,"Inpatient Psychiatric Hospital, excludes Physician costs",NA
Hospital Based Services,Inpatient Psychiatric Hospital,124,Per Diem,24,"Inpatient Psychiatric Hospital, excludes Physician costs",NA
Hospital Based Services,Ancillary Hospital Services,144,Encounter,NA,Inpatient Hospital Ancillary Services - Room and Board,NA
Hospital Based Services,Ancillary Hospital Services,250,Encounter,NA,Pharmacy - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,270,Encounter,NA,Medical/Surgical Supplies and Devices - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,300,Encounter,NA,Laboratory - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,370,Encounter,NA,Anesthesia - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,410,Encounter,NA,Respiratory Services - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,430,Encounter,NA,Occupational Therapy - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,450,Encounter,NA,Emergency Room - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,460,Encounter,NA,Pulmonary Function - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,636,Encounter,NA,Pharmacy - Drugs Requiring Detailed Coding,NA
Hospital Based Services,Ancillary Hospital Services,710,Encounter,NA,ECT Recovery Room,NA
Hospital Based Services,Ancillary Hospital Services,730,Encounter,NA,EKG/ECG (Electrocardiogram) - General Classification,NA
Crisis Services,Extended Observation Beds,762,Encounter,NA,Specialty Services - Observation Hours,NA
Hospital Based Services,Ancillary Hospital Services,900,Encounter,NA,Behavioral Health Treatment/Services - General Classification,NA
Hospital Based Services,Ancillary Hospital Services,901,Encounter,NA,Ancillary Hospital Services,NA
Crisis Services,Partial Hospitalization,912,Per Diem,24,Partial Hospitalization,NA
Crisis Services,Partial Hospitalization,913,Per Diem,24,Partial Hospitalization,NA
Screening & Assessment,Drug/alcohol screen,80100,Encounter,NA,Drug Screen for Methadone Clients Only,NA
Screening & Assessment,Drug/alcohol screen,80101,Encounter,NA,Drug Screen for Methadone Clients Only,NA
Screening & Assessment,Drug/alcohol screen,80300,Encounter,NA,Drug/alcohol screen,NA
Screening & Assessment,Drug/alcohol screen,80305,Encounter,NA,Drug Screen,NA
Screening & Assessment,Drug/alcohol screen,80306,Encounter,NA,Drug/alcohol screen,NA
Screening & Assessment,Drug/alcohol screen,82075,Encounter,NA,Alcohol Breath Test for Methadone Clients Only,NA
Psychiatric and Medication Services,Medication Administration,90772,Encounter,NA,Medication Administration,NA
Psychiatric and Medication Services,Medication Administration,90782,Encounter,NA,Medication Administration,NA
Screening & Assessment,Diagnostic Assessment,90785,Add On,NA,Psytx complex interactive,INTERACTIVE COMPLEXITY (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY PROCEDURE)
Psychiatric and Medication Services,Medication Administration,90788,Encounter,NA,Medication Administration,NA
Screening & Assessment,Diagnostic Assessment,90791,Encounter,NA,Psych diagnostic evaluation,PSYCHIATRIC DIAGNOSTIC EVALUATION
Screening & Assessment,Diagnostic Assessment,90792,Encounter,NA,Psych diag eval w/med srvcs,PSYCHIATRIC DIAGNOSTIC EVALUATION WITH MEDICAL SERVICES
Screening & Assessment,Psychiatric evaluation,90801,Encounter,NA,Psychiatric evaluation,NA
Screening & Assessment,Psychiatric evaluation,90802,Encounter,NA,Psychiatric evaluation,NA
Outpatient Treatment,Individual Therapy,90804,Encounter - 30 min,0.5,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90805,Encounter - 30 min,0.5,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90806,Encounter - 49 min,0.83,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90807,Encounter - 49 min,0.83,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90808,Encounter - 80 min,1.33,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90809,Encounter - 80 min,1.33,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90810,Encounter - 30 min,0.5,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90811,Encounter - 30 min,0.5,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90812,Encounter - 49 min,0.83,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90813,Encounter - 49 min,0.83,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90814,Encounter - 80 min,1.33,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90815,Encounter - 80 min,1.33,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90816,Encounter - 30 min,0.5,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90817,Encounter - 30 min,0.5,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90818,Encounter - 49 min,0.83,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90819,Encounter - 49 min,0.83,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90821,Encounter - 80 min,1.33,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90822,Encounter - 80 min,1.33,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90823,Encounter - 30 min,0.5,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90824,Encounter - 30 min,0.5,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90826,Encounter - 49 min,0.83,Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90827,Encounter - 49 min,0.83,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90828,Encounter - 80 min,1.33,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90829,Encounter - 80 min,1.33,Therapy-Individual Therapy,NA
Outpatient Treatment,Individual Therapy,90832,Encounter - 30 min,0.5,Psytx w pt 30 minutes,"PSYCHOTHERAPY, 30 MINUTES WITH PATIENT"
Psychiatric and Medication Services,Psychotherapy add-on to E/M service,90833,Add On,0.5,Psytx w pt w e/m 30 min,"PSYCHOTHERAPY, 30 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY PROCEDURE)"
Outpatient Treatment,Individual Therapy,90834,Encounter - 45 min,0.75,Psytx w pt 45 minutes,"PSYCHOTHERAPY, 45 MINUTES WITH PATIENT"
Psychiatric and Medication Services,Psychotherapy add-on to E/M service,90836,Add on,0.75,Psytx w pt w e/m 45 min,"PSYCHOTHERAPY, 45 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY PROCEDURE)"
Outpatient Treatment,Individual Therapy,90837,Hour,1,Psytx w pt 60 minutes,"PSYCHOTHERAPY, 60 MINUTES WITH PATIENT"
Psychiatric and Medication Services,Psychotherapy add-on to E/M service,90838,Add On,1,Psytx w pt w e/m 60 min,"PSYCHOTHERAPY, 60 MINUTES WITH PATIENT WHEN PERFORMED WITH AN EVALUATION AND MANAGEMENT SERVICE (LIST SEPARATELY IN ADDITION TO THE CODE FOR PRIMARY PROCEDURE)"
Crisis Services,Psychotherapy for crisis,90839,Hour,1,Psychotherapy for Crisis First 60 Minutes,NA
Crisis Services,Psychotherapy for crisis,90840,Encounter - 30 min,0.5,Psychotherapy for Crisis Each Additional 30 Minutes,NA
Outpatient Treatment,Family Therapy,90846,Encounter,1.33,Family psytx w/o pt 50 min,"FAMILY PSYCHOTHERAPY (WITHOUT THE PATIENT PRESENT), 50 MINUTES"
Outpatient Treatment,Family Therapy,90847,Encounter,1.33,Family psytx w/pt 50 min,"FAMILY PSYCHOTHERAPY (CONJOINT PSYCHOTHERAPY) (WITH PATIENT PRESENT), 50 MINUTES"
Outpatient Treatment,Group Therapy,90849,Encounter,0.5,Group Therapy,NA
Outpatient Treatment,Group Therapy,90853,Encounter,0.5,Group Therapy,NA
Outpatient Treatment,Group Therapy,90857,Encounter,NA,Group Therapy,NA
Psychiatric and Medication Services,Medication Management,90862,Encounter,NA,Medication Management,NA
Hospital Based Services,Ancillary Hospital Services,90870,Encounter,0.83,Additional Codes-ECT Physician,NA
Screening & Assessment,Psychological Testing,90887,Encounter,1.33,Assessments-Other,NA
Health Services,Speech & Language Therapy,92506,Encounter,1.33,Speech & Language Therapy,NA
Health Services,Speech & Language Therapy,92507,Encounter,1.33,Speech/hearing therapy,"TREATMENT OF SPEECH, LANGUAGE, VOICE, COMMUNICATION, AND/OR AUDITORY PROCESSING DISORDER; INDIVIDUAL"
Health Services,Speech & Language Therapy,92508,Encounter,1.33,Speech/hearing therapy,"TREATMENT OF SPEECH, LANGUAGE, VOICE, COMMUNICATION, AND/OR AUDITORY PROCESSING DISORDER; GROUP, 2 OR MORE INDIVIDUALS"
Screening & Assessment,Speech evaluation,92521,Encounter,0.5,Evaluation of speech fluency,"EVALUATION OF SPEECH FLUENCY (EG, STUTTERING, CLUTTERING)"
Screening & Assessment,Speech evaluation,92522,Encounter,0.5,Evaluate speech production,"EVALUATION OF SPEECH SOUND PRODUCTION (EG, ARTICULATION, PHONOLOGICAL PROCESS, APRAXIA, DYSARTHRIA);"
Health Services,Speech & Language Therapy,92523,Encounter,0.83,Speech sound lang comprehen,"EVALUATION OF SPEECH SOUND PRODUCTION (EG, ARTICULATION, PHONOLOGICAL PROCESS, APRAXIA, DYSARTHRIA); WITH EVALUATION OF LANGUAGE COMPREHENSION AND EXPRESSION (EG, RECEPTIVE AND EXPRESSIVE LANGUAGE)"
Health Services,Speech & Language Therapy,92524,Encounter,NA,Behavral qualit analys voice,BEHAVIORAL AND QUALITATIVE ANALYSIS OF VOICE AND RESONANCE
Health Services,Speech & Language Therapy,92526,Encounter,1.33,Speech & Language Therapy,NA
Health Services,Speech & Language Therapy,92607,Hour,1,Ex for speech device rx 1hr,"EVALUATION FOR PRESCRIPTION FOR SPEECH-GENERATING AUGMENTATIVE AND ALTERNATIVE COMMUNICATION DEVICE, FACE-TO-FACE WITH THE PATIENT; FIRST HOUR"
Health Services,Speech & Language Therapy,92608,Encounter - 30 min,0.5,Ex for speech device rx addl,"EVALUATION FOR PRESCRIPTION FOR SPEECH-GENERATING AUGMENTATIVE AND ALTERNATIVE COMMUNICATION DEVICE, FACE-TO-FACE WITH THE PATIENT; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
Health Services,Speech & Language Therapy,92609,Encounter,NA,Use of speech device service,"THERAPEUTIC SERVICES FOR THE USE OF SPEECH-GENERATING DEVICE, INCLUDING PROGRAMMING AND MODIFICATION"
Screening & Assessment,Speech evaluation,92610,Encounter,1.33,Speech & Language Therapy,NA
Screening & Assessment,Psychological Testing,96100,Hour,1,Assessments-Testing,NA
Screening & Assessment,Psychological Testing,96101,Hour,1,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96102,Hour,1,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96103,Hour,1,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96105,Encounter,NA,Assessment of aphasia,"ASSESSMENT OF APHASIA (INCLUDES ASSESSMENT OF EXPRESSIVE AND RECEPTIVE SPEECH AND LANGUAGE FUNCTION, LANGUAGE COMPREHENSION, SPEECH PRODUCTION ABILITY, READING, SPELLING, WRITING, EG, BY BOSTON DIAGNOSTIC APHASIA EXAMINATION) WITH INTERPRETATION AND REPORT, PER HOUR"
Screening & Assessment,Developmental Screen,96110,Encounter,NA,Developmental screen w/score,"DEVELOPMENTAL SCREENING (EG, DEVELOPMENTAL MILESTONE SURVEY, SPEECH AND LANGUAGE DELAY SCREEN), WITH SCORING AND DOCUMENTATION, PER STANDARDIZED INSTRUMENT"
Screening & Assessment,Developmental Screen,96111,Encounter,NA,Assessments-Other,NA
Screening & Assessment,Psychological Testing,96115,Hour,1,Assessments-Testing,NA
Screening & Assessment,Psychological Testing,96116,Hour,1,Nubhvl xm phys/qhp 1st hr,"NEUROBEHAVIORAL STATUS EXAM (CLINICAL ASSESSMENT OF THINKING, REASONING AND JUDGMENT, [EG, ACQUIRED KNOWLEDGE, ATTENTION, LANGUAGE, MEMORY, PLANNING AND PROBLEM SOLVING, AND VISUAL SPATIAL ABILITIES]), BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, BOTH FACE-TO-FACE TIME WITH THE PATIENT AND TIME INTERPRETING TEST RESULTS AND PREPARING THE REPORT; FIRST HOUR"
Screening & Assessment,Psychological Testing,96117,Hour,1,Assessments-Testing,NA
Screening & Assessment,Psychological Testing,96118,Hour,1,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96119,Hour,1,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96120,Hour,1,Neuropsych test Admin w/Comp,NA
Screening & Assessment,Psychological Testing,96121,Hour,1,Nubhvl xm phy/qhp ea addl hr,"NEUROBEHAVIORAL STATUS EXAM (CLINICAL ASSESSMENT OF THINKING, REASONING AND JUDGMENT, [EG, ACQUIRED KNOWLEDGE, ATTENTION, LANGUAGE, MEMORY, PLANNING AND PROBLEM SOLVING, AND VISUAL SPATIAL ABILITIES]), BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, BOTH FACE-TO-FACE TIME WITH THE PATIENT AND TIME INTERPRETING TEST RESULTS AND PREPARING THE REPORT; EACH ADDITIONAL HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
Screening & Assessment,Psychological Testing,96130,Hour,1,Psycl tst eval phys/qhp 1st,"PSYCHOLOGICAL TESTING EVALUATION SERVICES BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, INCLUDING INTEGRATION OF PATIENT DATA, INTERPRETATION OF STANDARDIZED TEST RESULTS AND CLINICAL DATA, CLINICAL DECISION MAKING, TREATMENT PLANNING AND REPORT, AND INTERACTIVE FEEDBACK TO THE PATIENT, FAMILY MEMBER(S) OR CAREGIVER(S), WHEN PERFORMED; FIRST HOUR"
Screening & Assessment,Psychological Testing,96131,Hour,1,Psycl tst eval phys/qhp ea,"PSYCHOLOGICAL TESTING EVALUATION SERVICES BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, INCLUDING INTEGRATION OF PATIENT DATA, INTERPRETATION OF STANDARDIZED TEST RESULTS AND CLINICAL DATA, CLINICAL DECISION MAKING, TREATMENT PLANNING AND REPORT, AND INTERACTIVE FEEDBACK TO THE PATIENT, FAMILY MEMBER(S) OR CAREGIVER(S), WHEN PERFORMED; EACH ADDITIONAL HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
Screening & Assessment,Psychological Testing,96132,Hour,1,Nrpsyc tst eval phys/qhp 1st,"NEUROPSYCHOLOGICAL TESTING EVALUATION SERVICES BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, INCLUDING INTEGRATION OF PATIENT DATA, INTERPRETATION OF STANDARDIZED TEST RESULTS AND CLINICAL DATA, CLINICAL DECISION MAKING, TREATMENT PLANNING AND REPORT, AND INTERACTIVE FEEDBACK TO THE PATIENT, FAMILY MEMBER(S) OR CAREGIVER(S), WHEN PERFORMED; FIRST HOUR"
Screening & Assessment,Psychological Testing,96133,Hour,1,Nrpsyc tst eval phys/qhp ea,"NEUROPSYCHOLOGICAL TESTING EVALUATION SERVICES BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, INCLUDING INTEGRATION OF PATIENT DATA, INTERPRETATION OF STANDARDIZED TEST RESULTS AND CLINICAL DATA, CLINICAL DECISION MAKING, TREATMENT PLANNING AND REPORT, AND INTERACTIVE FEEDBACK TO THE PATIENT, FAMILY MEMBER(S) OR CAREGIVER(S), WHEN PERFORMED; EACH ADDITIONAL HOUR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
Screening & Assessment,Psychological Testing,96136,Hour,0.5,Psycl/nrpsyc tst phy/qhp 1st,"PSYCHOLOGICAL OR NEUROPSYCHOLOGICAL TEST ADMINISTRATION AND SCORING BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, TWO OR MORE TESTS, ANY METHOD; FIRST 30 MINUTES"
Screening & Assessment,Psychological Testing,96137,30 min,0.5,Psycl/nrpsyc tst phy/qhp ea,"PSYCHOLOGICAL OR NEUROPSYCHOLOGICAL TEST ADMINISTRATION AND SCORING BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, TWO OR MORE TESTS, ANY METHOD; EACH ADDITIONAL 30 MINUTES (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)"
Screening & Assessment,Psychological Testing,96138,Hour,0.5,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96139,30 min,0.5,Psychological Testing,NA
Screening & Assessment,Psychological Testing,96146,Encounter,NA,Psychological Testing,NA
Psychiatric and Medication Services,Medication Administration,96372,Encounter,NA,Medication Administration,NA
Screening & Assessment,Physical therapy evaluation,97001,Encounter,NA,Physical therapy evaluation,NA
Screening & Assessment,Physical therapy evaluation,97002,Encounter,NA,Physical therapy evaluation,NA
Screening & Assessment,Occupational therapy evaluation,97003,Encounter,NA,Occupational therapy evaluation,NA
Screening & Assessment,Occupational therapy evaluation,97004,Encounter,NA,Occupational therapy evaluation,NA
Health Services,Occupational Therapy and Physical Therapy,97110,Encounter - 30 min,0.5,Therapeutic exercises,"THERAPEUTIC PROCEDURE, 1 OR MORE AREAS, EACH 15 MINUTES; THERAPEUTIC EXERCISES TO DEVELOP STRENGTH AND ENDURANCE, RANGE OF MOTION AND FLEXIBILITY"
Health Services,Occupational Therapy and Physical Therapy,97112,Encounter - 15 min,0.25,Neuromuscular reeducation,"THERAPEUTIC PROCEDURE, 1 OR MORE AREAS, EACH 15 MINUTES; NEUROMUSCULAR REEDUCATION OF MOVEMENT, BALANCE, COORDINATION, KINESTHETIC SENSE, POSTURE, AND/OR PROPRIOCEPTION FOR SITTING AND/OR STANDING ACTIVITIES"
Health Services,Occupational Therapy and Physical Therapy,97113,Encounter - 15 min,0.25,Aquatic therapy/exercises,"THERAPEUTIC PROCEDURE, 1 OR MORE AREAS, EACH 15 MINUTES; AQUATIC THERAPY WITH THERAPEUTIC EXERCISES"
Health Services,Occupational Therapy and Physical Therapy,97116,Encounter - 15 min,0.25,Gait training therapy,"THERAPEUTIC PROCEDURE, 1 OR MORE AREAS, EACH 15 MINUTES; GAIT TRAINING (INCLUDES STAIR CLIMBING)"
Health Services,Occupational Therapy and Physical Therapy,97124,Encounter - 15 min,0.25,Massage therapy,"THERAPEUTIC PROCEDURE, 1 OR MORE AREAS, EACH 15 MINUTES; MASSAGE, INCLUDING EFFLEURAGE, PETRISSAGE AND/OR TAPOTEMENT (STROKING, COMPRESSION, PERCUSSION)"
